BLOCK,TREATMENT,SPECIES,1999_06,1999_09,2000_02,2000_06,2001_01,2001_06,2002_02,2002_06,2003_02,2003_06,2004_02,2004_06,2005_02,2005_06,2006_03,2006_06,2007_02,2007_06,2008_02,2008_06,2009_02,2009_06,2010_01,2010_06,2011_06,2012_06,2013_06,2014_06,2015_06,2016_06,2017_06,2018_06,2019_06,2020_06
NORTH,MW,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SOUTH,MW,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
CENTRAL,MWC,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,O,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,W,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Amaranthus_hibridus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0
CENTRAL,WC,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SOUTH,WC,Amaranthus_hibridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,C,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MW,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MW,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MWC,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SOUTH,MWC,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,O,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
NORTH,O,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,W,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CENTRAL,WC,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,WC,Aristida_congesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,C,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
NORTH,C,Aristida_kenyensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,10,0,6
SOUTH,C,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,4,0,0,16,0,0,0,0,0,0,0,2,0,0
CENTRAL,MW,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,6,0,0,0,12,0,0,10,0,2
NORTH,MW,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,10,16,6,0,2,4,2
SOUTH,MW,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38,0,0,0,10,10,0,0,0,0,10,26,0,4,0,0
CENTRAL,MWC,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0
SOUTH,MWC,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,0
CENTRAL,O,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Aristida_kenyensis,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0
CENTRAL,W,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,16
NORTH,W,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0,0,0,14,0,6,0,0,0,2,0,8,0,0,0,0
CENTRAL,WC,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,16,8,2,18,12,18,0,24,0,0,0,0,0,0,0,4,0,0
NORTH,WC,Aristida_kenyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,18,0,0
SOUTH,WC,Aristida_kenyensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,6,0
CENTRAL,C,Aspilia_pluriseta,25,25,13,13,26,12,30,34,26,26,22,35,15,15,8,28,28,12,2,8,20,0,8,4,20,2,14,2,2,22,0,10,0,16
NORTH,C,Aspilia_pluriseta,37,37,43,31,26,35,57,49,27,27,30,52,26,39,48,14,18,18,0,4,4,0,6,12,6,20,40,10,42,6,4,0,4,26
SOUTH,C,Aspilia_pluriseta,41,41,28,15,15,22,56,41,40,40,24,40,12,38,6,16,26,8,4,0,16,0,22,18,28,22,12,0,20,2,8,4,0,2
CENTRAL,MW,Aspilia_pluriseta,15,15,7,4,9,13,30,36,45,45,24,37,8,23,12,26,34,6,12,14,4,0,2,12,2,20,26,8,12,0,0,0,0,24
NORTH,MW,Aspilia_pluriseta,56,56,35,19,18,47,71,41,40,40,44,49,29,38,4,2,38,10,0,8,4,4,12,6,10,20,16,6,0,8,0,10,2,10
SOUTH,MW,Aspilia_pluriseta,32,32,18,15,18,27,78,41,13,13,13,16,11,13,2,2,22,10,0,0,2,2,0,2,12,8,6,0,4,14,2,2,0,6
CENTRAL,MWC,Aspilia_pluriseta,42,42,26,8,5,29,42,22,18,18,15,10,19,8,4,14,16,2,12,0,18,0,4,12,10,6,20,4,6,16,4,16,0,2
NORTH,MWC,Aspilia_pluriseta,28,28,12,15,15,32,69,20,13,13,26,52,23,12,8,22,10,8,6,0,4,2,4,10,6,40,28,22,12,12,2,6,6,6
SOUTH,MWC,Aspilia_pluriseta,30,30,31,18,16,51,61,43,31,31,4,21,11,8,2,0,24,6,2,0,2,0,6,8,8,2,18,10,14,10,2,26,10,12
CENTRAL,O,Aspilia_pluriseta,30,30,20,44,46,37,32,12,10,10,22,37,13,40,6,14,26,26,10,6,0,2,18,4,8,14,8,0,24,0,6,6,16,16
NORTH,O,Aspilia_pluriseta,79,79,55,57,72,77,143,91,13,13,90,77,50,25,36,26,78,22,12,22,18,20,8,12,12,8,4,8,12,8,0,2,4,2
SOUTH,O,Aspilia_pluriseta,47,47,44,21,61,60,156,101,74,74,57,66,30,23,16,16,22,20,6,2,2,4,4,4,2,2,4,8,18,0,0,10,12,10
CENTRAL,W,Aspilia_pluriseta,30,30,37,24,16,15,76,37,27,27,42,27,23,49,10,34,30,52,10,0,8,4,16,14,6,40,34,2,48,30,6,10,4,16
NORTH,W,Aspilia_pluriseta,61,61,50,40,32,40,61,75,67,67,65,68,42,54,42,40,54,16,4,6,2,2,0,8,16,32,50,50,36,38,18,6,2,8
SOUTH,W,Aspilia_pluriseta,47,47,44,29,23,61,89,65,35,35,24,33,10,20,26,14,38,12,7,2,10,0,2,4,14,12,16,22,24,18,0,10,16,16
CENTRAL,WC,Aspilia_pluriseta,32,32,19,21,26,30,44,27,7,7,30,16,8,8,0,4,30,16,6,0,2,4,8,14,16,24,28,6,34,36,10,38,6,12
NORTH,WC,Aspilia_pluriseta,63,63,41,39,35,55,61,53,42,42,48,61,12,22,8,10,26,6,4,0,4,2,2,4,14,24,22,28,44,24,2,38,8,28
SOUTH,WC,Aspilia_pluriseta,37,37,34,18,26,31,33,24,16,16,12,26,8,13,10,6,22,8,0,0,8,0,2,8,10,6,4,0,20,10,2,34,14,26
CENTRAL,C,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,C,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,C,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MW,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MW,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MW,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,MWC,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,MWC,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,MWC,Asterolinon_adoense,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CENTRAL,O,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,O,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,O,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,W,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,W,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,W,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
CENTRAL,WC,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH,WC,Asterolinon_adoense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH,WC,Asterolinon_adoense,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL,C,Bare,,,,,400,413,179,218,170,170,53,20,73,69,140,156,16,118,212,238,146,382,198,120,142,14,26,122,14,14,210,2,72,18
NORTH,C,Bare,,,,,361,289,152,218,309,309,117,32,87,95,128,160,40,186,288,254,224,364,266,238,186,46,24,48,8,12,204,20,54,4
SOUTH,C,Bare,,,,,425,469,227,292,248,248,128,58,132,87,119,174,26,186,316,252,222,448,320,258,152,12,94,156,28,46,346,24,58,10
CENTRAL,MW,Bare,,,,,342,361,159,169,136,136,62,23,32,48,54,86,6,56,62,166,110,224,210,66,56,6,18,44,32,6,278,0,18,0
NORTH,MW,Bare,,,,,395,247,161,235,209,209,58,36,56,28,81,124,14,42,44,136,100,248,256,146,124,20,10,30,8,6,280,0,16,2
SOUTH,MW,Bare,,,,,336,350,228,270,220,220,48,19,30,23,47,118,10,24,138,186,134,280,220,120,50,8,28,100,24,6,400,0,2,2
CENTRAL,MWC,Bare,,,,,631,399,183,263,231,231,81,21,76,66,136,228,26,124,236,254,186,428,286,160,196,18,68,136,56,12,440,8,78,18
NORTH,MWC,Bare,,,,,457,365,181,252,213,213,73,27,124,79,167,248,50,198,230,316,192,392,364,236,282,56,72,98,24,0,522,18,144,54
SOUTH,MWC,Bare,,,,,612,373,235,277,275,275,133,36,145,72,158,376,38,122,336,334,264,464,324,190,186,58,30,292,116,102,484,28,72,46
CENTRAL,O,Bare,,,,,36,215,79,122,114,114,39,3,39,21,48,106,24,52,56,46,42,126,68,36,52,2,8,36,4,4,8,0,0,4
NORTH,O,Bare,,,,,38,145,111,170,213,213,49,21,74,62,50,102,40,46,124,108,84,178,186,100,54,10,14,16,0,0,0,0,2,2
SOUTH,O,Bare,,,,,88,363,139,210,167,167,77,24,38,25,43,106,4,28,82,132,152,218,154,72,100,34,38,54,0,6,32,0,4,0
CENTRAL,W,Bare,,,,,263,269,119,116,84,84,29,6,17,17,20,90,4,32,88,162,136,252,208,96,132,4,30,30,6,10,288,0,18,12
NORTH,W,Bare,,,,,374,285,113,123,128,128,31,15,22,9,24,44,18,6,94,100,76,128,200,78,74,22,2,6,4,0,264,0,8,4
SOUTH,W,Bare,,,,,172,224,84,113,111,111,22,1,6,3,27,102,10,14,81,128,146,208,172,54,46,10,14,98,22,8,268,0,4,6
CENTRAL,WC,Bare,,,,,432,443,232,248,155,155,58,52,117,74,160,302,68,148,260,368,294,472,314,268,294,78,84,220,80,66,564,12,150,28
NORTH,WC,Bare,,,,,457,350,176,201,294,294,95,29,102,102,160,198,46,240,334,370,316,502,390,278,252,78,48,138,36,24,430,14,86,14
SOUTH,WC,Bare,,,,,494,447,219,342,243,243,149,38,91,68,136,246,56,196,362,356,324,442,386,212,176,50,48,200,56,94,438,20,116,46
CENTRAL,C,Bothriochloa_insculpta,0,0,0,0,0,0,1,2,2,2,4,6,0,2,4,2,18,12,10,10,22,10,0,16,6,64,34,54,62,100,30,96,18,102
NORTH,C,Bothriochloa_insculpta,0,0,0,0,0,0,1,2,0,0,4,7,0,0,0,0,0,0,0,2,0,0,12,0,8,8,36,6,48,80,18,36,30,68
SOUTH,C,Bothriochloa_insculpta,0,0,0,0,0,2,3,1,7,7,15,17,22,62,30,32,114,46,66,42,118,42,38,88,82,186,164,140,110,148,38,116,70,146
CENTRAL,MW,Bothriochloa_insculpta,0,0,0,0,0,5,4,11,1,1,19,33,25,35,16,20,72,58,50,54,28,24,0,44,54,98,116,80,122,160,32,92,32,78
NORTH,MW,Bothriochloa_insculpta,0,0,0,0,0,0,3,0,1,1,11,11,3,3,6,26,30,54,52,22,74,10,0,54,30,88,152,44,128,102,32,102,60,146
SOUTH,MW,Bothriochloa_insculpta,0,0,0,0,0,1,20,25,32,32,50,92,59,85,12,32,100,72,24,50,92,40,44,142,142,272,214,134,252,116,26,68,92,24
CENTRAL,MWC,Bothriochloa_insculpta,0,0,0,0,0,2,2,8,0,0,11,3,3,5,4,8,8,26,4,20,26,6,0,18,66,90,76,78,170,138,20,52,10,90
NORTH,MWC,Bothriochloa_insculpta,0,0,0,0,0,0,5,6,8,8,4,13,15,0,0,12,16,14,12,2,14,2,48,36,32,58,108,50,148,152,8,108,16,88
SOUTH,MWC,Bothriochloa_insculpta,0,0,0,0,0,10,10,24,29,29,48,99,81,144,90,50,250,150,118,126,166,58,70,230,206,286,374,284,320,268,4,182,122,132
CENTRAL,O,Bothriochloa_insculpta,0,0,0,0,0,1,0,0,2,2,0,3,9,14,26,12,56,50,12,34,10,2,0,10,16,8,12,8,56,26,24,14,26,0
NORTH,O,Bothriochloa_insculpta,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,12,0,0,0,12,4
SOUTH,O,Bothriochloa_insculpta,0,0,0,0,0,4,9,25,21,21,36,51,45,40,96,124,68,102,48,46,56,44,40,40,74,102,124,30,128,74,66,24,30,54
CENTRAL,W,Bothriochloa_insculpta,0,0,0,0,0,0,0,6,5,5,0,5,1,0,0,0,32,10,2,10,12,6,28,12,6,46,2,26,46,38,0,22,26,16
