7,B,,,,,4,2,,,,,,,,,,,,,3,,,,,,,,,,
7,C,,,5,2,,1,,,,,,2,,,,,,,,,,,,,,,,,
7,D,,,6,4,,,,,,,,,,,,,,,,,,,,,,3,,,
7,E,,,1,,3,5,,,,,,,,,,,,,,,,,,,,1,,,
7,F,,,,1,2,1,4,1,,,,,,,,,,,,,,,,,,,,,
7,G,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
7,H,,,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,
7,I,,,2,3,,1,2,,,,,,,,,,,,,,,,,,,,,,
7,J,,,3,,,,2,,1,,,,,,3,,,,,,,,,,,,,,
8,J,,,8,,,,2,,,,,,,,,,,,,,,,,,,,,,
8,I,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
8,H,,,3,3,,,5,,,,,,,,,,,,,,,,,,,,,,
8,G,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
8,F,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,E,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,
8,D,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,,,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,
8,B,,,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,
8,A,,,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,
9,A,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
9,B,,,4,,,1,3,,,,,,,,,,,,1,,,,,,,4,,,
9,C,,,,4,,1,,,1,,,,,,,,,,,,,,,,,,,,
9,D,,,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
9,E,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,
9,F,,,5,3,,,2,,,,,,,,,,,,,,,,,,,,,,
9,G,,,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,
9,H,,,6,,,2,1,,,,,,,,1,,,,,,,,,,,,,,
9,I,,,7,3,,,2,,,,,,,,,,,,,,,,,,,,,,
9,J,,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,
10,J,,,4,1,,3,,,,,,,,,,,,,,,,,,,,,,,
10,I,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,
10,H,,,,,2,2,2,,,,,,,,,,,,1,,,,,,,,,,
10,G,,,4,,1,,2,,,,,,,,3,,,,,,,,,,,,,,
10,F,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
10,E,,,2,,,1,,,2,,,,2,,,,,,,,,,,,,,,,
10,D,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
10,C,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
10,B,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,,,,5,,,,,,0,,,,0,,0,0,0,,0,0,0,0,0,0,,0,2,
,,,,223,132,90,153,77,5,26,0,1,9,11,0,17,0,0,0,8,0,0,0,0,0,0,11,0,2,
Mean,,,,22.3,13.2,9,15.3,7.7,0.5,2.6,0,0.1,0.9,1.1,0,1.7,0,0,0,0.8,0,0,0,0,0,0,1.1,0,0.2,76.5
Rel. Cov.,,,,29.1503268,17.25490196,11.76470588,20,10.06535948,0.653594771,3.39869281,0,0.130718954,1.176470588,1.437908497,0,2.222222222,0,0,0,1.045751634,0,0,0,0,0,0,1.437908497,0,0.261437908,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,
,,C - MWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,
1,A,Y,N,1,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,
1,B,Y,N,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,1,
1,C,Y,N,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,
1,D,Y,N,,1,1,1,,,1,,1,,,,,,,,,,,,,,,,,,
1,E,Y,N,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
1,F,Y,N,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,
1,G,Y,N,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,
1,H,Y,N,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,
1,I,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,J,Y,N,1,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,
2,J,Y,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,I,Y,Y,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,H,Y,N,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
2,G,Y,N,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
2,F,Y,N,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,
2,E,Y,N,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
2,D,Y,N,,1,1,1,,,,,,1,,,1,,,,,,,,,,,,,,
2,C,Y,N,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,
2,B,Y,N,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,
2,A,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,
3,A,Y,N,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,
3,B,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,
3,C,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
3,D,Y,N,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,
3,E,Y,N,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
3,F,Y,N,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,1,
3,G,Y,N,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,
3,H,Y,N,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
3,I,Y,N,1,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,
3,J,Y,N,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,
4,J,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
4,I,Y,N,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,
4,H,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
4,G,Y,N,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,
4,F,Y,Y,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,
4,E,Y,N,,,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,
4,D,Y,N,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
4,C,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
4,B,Y,N,,1,1,1,,,,,,1,,,,,,,1,,,,,,,,,,
4,A,Y,N,1,,1,1,1,,1,,,,,,,,,,1,,,,,,,,,,
5,A,Y,N,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,B,Y,N,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,C,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,Y,N,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,
5,E,Y,N,1,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,
5,F,Y,Y,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,G,Y,Y,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,1,
5,H,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,
5,I,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
5,J,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,J,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
6,I,Y,N,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
6,H,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
6,G,Y,N,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,F,Y,N,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,
6,E,Y,N,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,D,Y,N,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,
6,C,Y,N,1,1,,1,1,,,,,,,,,,,,1,,,,,,,1,,,
6,B,Y,N,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,
6,A,Y,N,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,
7,A,Y,N,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,
7,B,Y,N,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,
7,C,Y,N,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
7,D,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,
7,E,Y,N,1,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,
7,F,Y,N,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
7,G,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,H,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
7,I,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
7,J,Y,N,1,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,
8,J,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
8,I,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,H,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
8,G,Y,N,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
8,F,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
8,E,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
8,D,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
8,C,Y,N,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
8,B,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8,A,Y,N,1,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,
9,A,Y,N,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
9,B,Y,N,1,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,
9,C,Y,N,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,
9,D,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
9,E,Y,N,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,
9,F,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
9,G,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
9,H,Y,N,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,
9,I,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
9,J,Y,N,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
10,J,Y,N,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
10,I,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,
10,H,Y,N,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,
10,G,Y,N,1,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,
10,F,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
10,E,Y,N,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,
10,D,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
10,C,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
10,B,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
10,A,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,
,,% freq.,,79,53,33,87,41,13,15,1,2,11,10,0,15,0,0,0,9,0,0,2,0,0,0,6,0,9,
