3,B,,,,2,6,,3,,,,,,,,,,,,,,,,,,,,,,,
3,C,,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,3,
3,D,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,8,
3,E,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,5,
3,F,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,
3,G,,,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,5,
3,H,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,7,
3,I,,,1,3,1,,,,2,,,,,,,,,,,,,,,,,,,,3,
3,J,,,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,5,
4,J,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
4,I,,,2,1,3,,,,2,,,,,,,,,,1,,,,,,,,,,3,
4,H,,,,,7,,,,,,,,,,,,,,,,,,,,,2,,,1,
4,G,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,1,5,
4,F,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,2,
4,E,,,3,5,,,1,,,,,,,,,,,,,,,,,,,,,,2,
4,D,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,4,
4,C,,,,1,,2,,,,,,,,,4,,,,,,,,,,,,,,4,
4,B,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,6,
4,A,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
5,A,,,,,6,,,,3,,,,2,,,,,,,,,,,,,,,,3,
5,B,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,4,
5,C,,,,4,,,1,,2,,,,,,,,,,,,,,,,,,,,3,
5,D,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
5,E,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,2,
5,F,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,7,
5,G,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,1,
5,H,,,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,4,
5,I,,,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,,4,
5,J,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
6,A,,,8,,,,,,,,,,,,,,,,2,,,,,,,,,,1,
6,B,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,C,,,,,3,2,,,3,,,,,,,,,,,,,,,,,,,,5,
6,D,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,4,
6,E,,,2,,6,,1,,,,,,,,,,,,,,,,,,,,,,1,
6,F,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,1,3,
6,G,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,I,,,1,2,3,,,,,,,,1,,,,,,,,,,,,,,,,4,
6,J,,,,5,,2,,1,,,,,1,,,,,,,,,,,,,,,,2,
7,J,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,5,
7,I,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,4,
7,H,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,2,
7,G,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,4,
7,F,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,3,
7,E,,,,2,,,4,,,1,,,,,,,,,,,,,,,,,,,6,
7,D,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,3,
7,C,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,6,
7,B,,,,5,,1,,,,,,,,,,1,,,,,,,,,,,,,3,
7,A,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,1,
8,A,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,4,
8,B,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,4,
8,C,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
8,D,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,4,
8,E,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,6,
8,F,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,7,
8,G,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,2,
8,H,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,6,
8,I,,,,,1,2,,,,,,,,,1,,,,,,,,,,,,,,6,
8,J,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,4,
9,J,,,,6,,,,,,,,,1,,,,,,,,,,,,,3,,,2,
9,I,,,,,5,,,,3,,,,,,,,,,,,,,,,,,,,2,
9,H,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,2,
9,G,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,2,
9,F,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,3,
9,E,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,2,
9,D,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,3,
9,B,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
9,A,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,4,
10,A,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,
10,B,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,6,
10,C,,,2,1,,,,,,,,2,,,,,,,,,,,,,,,,,5,
10,D,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
10,E,,,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,4,
10,F,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,2,
10,G,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,
10,H,,,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,5,
10,I,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,7,
10,J,,,,,3,3,,,,,0,,,0,,,0,0,,0,0,0,0,0,0,,0,,4,
,,,,112,148,229,44,68,5,32,1,0,6,5,0,5,1,0,0,3,0,0,0,0,0,0,5,0,2,374,
Mean,,,,11.20,14.80,22.90,4.40,6.80,0.50,3.20,0.10,0.00,0.60,0.50,0.00,0.50,0.10,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.20,37.40,104.00
Rel. Cov.,,,,10.77,14.23,22.02,4.23,6.54,0.48,3.08,0.10,0.00,0.58,0.48,0.00,0.48,0.10,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.19,35.96,100.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,Y,N,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,Y,N,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,C,Y,N,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,Y,N,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,
1,E,Y,N,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1,F,Y,N,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,G,Y,N,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
1,H,Y,N,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,
1,I,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
1,J,Y,N,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
2,J,Y,N,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,
2,I,Y,N,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2,H,Y,N,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,
2,G,Y,N,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,F,Y,N,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,E,Y,N,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
2,D,Y,N,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
2,C,Y,N,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
2,B,Y,N,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,
2,A,Y,N,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
3,A,Y,N,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,B,Y,N,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
3,C,Y,N,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,,
3,D,Y,N,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
3,E,Y,N,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,
3,F,Y,N,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
3,G,Y,N,1,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,
3,H,Y,N,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,
3,I,Y,N,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,,
3,J,Y,N,1,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,
4,J,Y,N,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
4,I,Y,N,1,1,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,
4,H,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,1,,1,,
4,G,Y,N,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,
4,F,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,E,Y,N,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,D,Y,N,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
4,C,Y,N,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,
4,B,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
4,A,Y,N,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,
5,A,Y,N,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
5,B,Y,N,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,
5,C,Y,N,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,
5,D,Y,N,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
5,E,Y,N,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,F,Y,N,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
5,G,Y,N,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,H,Y,N,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
5,I,Y,N,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
5,J,Y,N,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
6,J,Y,N,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
6,I,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
6,H,Y,N,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,
6,G,Y,N,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
6,F,Y,N,1,,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,
6,E,Y,N,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
6,D,Y,N,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,
6,C,Y,N,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
6,B,Y,N,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
6,A,Y,N,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,
7,A,Y,N,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7,B,Y,N,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,
7,C,Y,N,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
7,D,Y,N,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,
7,E,Y,N,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
7,F,Y,N,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,
7,G,Y,N,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
7,H,Y,N,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,
7,I,Y,N,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7,J,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,J,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,I,Y,N,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,
8,H,Y,Y,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,G,Y,Y,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
8,F,Y,N,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
8,E,Y,N,,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,
8,D,Y,N,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
8,C,Y,N,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
8,B,Y,N,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,
8,A,Y,N,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
9,A,Y,N,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,
9,B,Y,N,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
9,C,Y,N,,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,
9,D,Y,N,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
9,E,Y,N,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,F,Y,N,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
9,G,Y,Y,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
9,H,Y,Y,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,
9,I,Y,N,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
9,J,Y,N,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,
10,J,Y,N,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
10,I,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
10,H,Y,N,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
10,G,Y,N,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
10,F,Y,N,1,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,
10,E,Y,N,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,
10,D,Y,N,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
10,C,Y,N,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
10,B,Y,N,,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,
10,A,Y,N,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,
,,% freq.,,45,58,69,39,53,18,26,2,0,15,18,0,10,1,0,0,3,0,0,1,0,0,0,4,0,14,0,
