"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1A","1st","","solanum.inc...big.",NA,"C","N","20070101"
"1A","1st","","solanum.ind...small.",NA,"C","N","20070101"
"1A","1st","","v",NA,"C","N","20070101"
"1A","1st","","w",NA,"C","N","20070101"
"1A","1st","","panicum",NA,"C","N","20070101"
"1A","1st","","lippia",NA,"C","N","20070101"
"1C","1st","","bracharia.lacnantha",NA,"C","N","20070101"
"1C","1st","","lintonia.nutans",NA,"C","N","20070101"
"1C","1st","","pennisetum.mez.",NA,"C","N","20070101"
"1C","1st","","pennisetum.stram.",NA,"C","N","20070101"
"1C","1st","","themeda.triandra",NA,"C","N","20070101"
"1C","1st","","bare",NA,"C","N","20070101"
"1C","1st","","x_2",NA,"C","N","20070101"
"1C","1st","","aristida.kenyensis",NA,"C","N","20070101"
"1C","1st","","bothriochloa",NA,"C","N","20070101"
"1C","1st","","bracharia.3",NA,"C","N","20070101"
"1C","1st","","bracharia.eruciformis",NA,"C","N","20070101"
"1C","1st","","cynodon.dactylon",NA,"C","N","20070101"
"1C","1st","","cynodon.plecto.",NA,"C","N","20070101"
"1C","1st","","cyperus..mariscus.",NA,"C","N","20070101"
"1C","1st","","digitaria.2",NA,"C","N","20070101"
"1C","1st","","digitaria.milanjiana",NA,"C","N","20070101"
"1C","1st","","dinebra.retroflexa",NA,"C","N","20070101"
"1C","1st","","eragrostis",NA,"C","N","20070101"
"1C","1st","","setaria.acro...small.",NA,"C","N","20070101"
"1C","1st","","setaria.sphaec...big.",NA,"C","N","20070101"
"1C","1st","","microchloa.kunthii",NA,"C","N","20070101"
"1C","1st","","sporobolus",NA,"C","N","20070101"
"1C","1st","","tragus.berteronianus",NA,"C","N","20070101"
"1C","1st","","x_3",NA,"C","N","20070101"
"1C","1st","","acalypha.crenata",NA,"C","N","20070101"
"1C","1st","","aerva.lanata",NA,"C","N","20070101"
"1C","1st","","amaranthus.hibridus",NA,"C","N","20070101"
"1C","1st","","aspilia.pluriseta",NA,"C","N","20070101"
"1C","1st","","caralluma",NA,"C","N","20070101"
"1C","1st","","chenopodium.schrad.",NA,"C","N","20070101"
"1C","1st","","corchorus",NA,"C","N","20070101"
"1C","1st","","commelina",NA,"C","N","20070101"
"1C","1st","","commicarpus.pedunc.",NA,"C","N","20070101"
"1C","1st","","conyza",NA,"C","N","20070101"
"1C","1st","","cyathula",NA,"C","N","20070101"
"1C","1st","","dyscoriste.radicans",NA,"C","N","20070101"
"1C","1st","","euphorbia.inaequ.",NA,"C","N","20070101"
"1C","1st","","evolvulus.alsinoides",NA,"C","N","20070101"
"1C","1st","","gutenbergia",NA,"C","N","20070101"
"1C","1st","","hibiscus.flavifolius",NA,"C","N","20070101"
"1C","1st","","hibiscus.trionum",NA,"C","N","20070101"
"1C","1st","","indigofera.brevicalyx",NA,"C","N","20070101"
"1C","1st","","indigofera.schimperi",NA,"C","N","20070101"
"1C","1st","","ipomea.sinensis",NA,"C","N","20070101"
"1C","1st","","k",NA,"C","N","20070101"
"1C","1st","","kyllinger",NA,"C","N","20070101"
"1C","1st","","leucus",NA,"C","N","20070101"
"1C","1st","","lily",NA,"C","N","20070101"
"1C","1st","","melhania.",NA,"C","N","20070101"
"1C","1st","","misopates.orontium",NA,"C","N","20070101"
"1C","1st","","monechima.debile",NA,"C","N","20070101"
"1C","1st","","monsonia.augustifolia",NA,"C","N","20070101"
"1C","1st","","mullugo.nudicaulis",NA,"C","N","20070101"
"1C","1st","","osteospermum",NA,"C","N","20070101"
"1C","1st","","oxygonum.sinuatum",NA,"C","N","20070101"
"1C","1st","","pavonia.patens",NA,"C","N","20070101"
"1C","1st","","pelargonium",NA,"C","N","20070101"
"1C","1st","","phyllanthus.mader.",NA,"C","N","20070101"
"1C","1st","","plectranthus",NA,"C","N","20070101"
"1C","1st","","pollichia.campestris",NA,"C","N","20070101"
"1C","1st","","polygala..l.",NA,"C","N","20070101"
"1C","1st","","polygala.sphenoptera",NA,"C","N","20070101"
"1C","1st","","portulaca.oleracea",NA,"C","N","20070101"
"1C","1st","","portulaca.quadrifida",NA,"C","N","20070101"
"1C","1st","","pseudognaphalium",NA,"C","N","20070101"
"1C","1st","","psilotrichum.schimperi",NA,"C","N","20070101"
"1C","1st","","rhinacanthus.ndor.",NA,"C","N","20070101"
"1C","1st","","rhynchosia",NA,"C","N","20070101"
"1C","1st","","schkuhria.pinnata",NA,"C","N","20070101"
"1C","1st","","sida",NA,"C","N","20070101"
"1C","1st","","solanum.inc...big.",NA,"C","N","20070101"
"1C","1st","","solanum.ind...small.",NA,"C","N","20070101"
"1C","1st","","v",NA,"C","N","20070101"
"1C","1st","","w",NA,"C","N","20070101"
"1C","1st","","panicum",NA,"C","N","20070101"
"1C","1st","","lippia",NA,"C","N","20070101"
"1E","1st","","bracharia.lacnantha",NA,"C","N","20070101"
"1E","1st","","lintonia.nutans",NA,"C","N","20070101"
"1E","1st","","pennisetum.mez.",NA,"C","N","20070101"
"1E","1st","","pennisetum.stram.",NA,"C","N","20070101"
"1E","1st","","themeda.triandra",NA,"C","N","20070101"
"1E","1st","","bare",3,"C","N","20070101"
"1E","1st","","x_2",NA,"C","N","20070101"
"1E","1st","","aristida.kenyensis",NA,"C","N","20070101"
"1E","1st","","bothriochloa",NA,"C","N","20070101"
"1E","1st","","bracharia.3",NA,"C","N","20070101"
"1E","1st","","bracharia.eruciformis",NA,"C","N","20070101"
"1E","1st","","cynodon.dactylon",NA,"C","N","20070101"
"1E","1st","","cynodon.plecto.",NA,"C","N","20070101"
"1E","1st","","cyperus..mariscus.",NA,"C","N","20070101"
"1E","1st","","digitaria.2",NA,"C","N","20070101"
"1E","1st","","digitaria.milanjiana",NA,"C","N","20070101"
"1E","1st","","dinebra.retroflexa",NA,"C","N","20070101"
"1E","1st","","eragrostis",NA,"C","N","20070101"
"1E","1st","","setaria.acro...small.",NA,"C","N","20070101"
"1E","1st","","setaria.sphaec...big.",NA,"C","N","20070101"
"1E","1st","","microchloa.kunthii",NA,"C","N","20070101"
"1E","1st","","sporobolus",NA,"C","N","20070101"
"1E","1st","","tragus.berteronianus",NA,"C","N","20070101"
"1E","1st","","x_3",NA,"C","N","20070101"
"1E","1st","","acalypha.crenata",NA,"C","N","20070101"
"1E","1st","","aerva.lanata",NA,"C","N","20070101"
"1E","1st","","amaranthus.hibridus",NA,"C","N","20070101"
"1E","1st","","aspilia.pluriseta",NA,"C","N","20070101"
"1E","1st","","caralluma",NA,"C","N","20070101"
"1E","1st","","chenopodium.schrad.",NA,"C","N","20070101"
"1E","1st","","corchorus",NA,"C","N","20070101"
"1E","1st","","commelina",NA,"C","N","20070101"
"1E","1st","","commicarpus.pedunc.",NA,"C","N","20070101"
"1E","1st","","conyza",NA,"C","N","20070101"
"1E","1st","","cyathula",NA,"C","N","20070101"
"1E","1st","","dyscoriste.radicans",NA,"C","N","20070101"
"1E","1st","","euphorbia.inaequ.",NA,"C","N","20070101"
"1E","1st","","evolvulus.alsinoides",NA,"C","N","20070101"
"1E","1st","","gutenbergia",NA,"C","N","20070101"
"1E","1st","","hibiscus.flavifolius",NA,"C","N","20070101"
"1E","1st","","hibiscus.trionum",NA,"C","N","20070101"
"1E","1st","","indigofera.brevicalyx",NA,"C","N","20070101"
"1E","1st","","indigofera.schimperi",NA,"C","N","20070101"
"1E","1st","","ipomea.sinensis",NA,"C","N","20070101"
"1E","1st","","k",NA,"C","N","20070101"
"1E","1st","","kyllinger",NA,"C","N","20070101"
"1E","1st","","leucus",NA,"C","N","20070101"
"1E","1st","","lily",NA,"C","N","20070101"
"1E","1st","","melhania.",NA,"C","N","20070101"
"1E","1st","","misopates.orontium",NA,"C","N","20070101"
"1E","1st","","monechima.debile",NA,"C","N","20070101"
"1E","1st","","monsonia.augustifolia",NA,"C","N","20070101"
"1E","1st","","mullugo.nudicaulis",NA,"C","N","20070101"
"1E","1st","","osteospermum",NA,"C","N","20070101"
"1E","1st","","oxygonum.sinuatum",NA,"C","N","20070101"
"1E","1st","","pavonia.patens",NA,"C","N","20070101"
"1E","1st","","pelargonium",NA,"C","N","20070101"
"1E","1st","","phyllanthus.mader.",NA,"C","N","20070101"
"1E","1st","","plectranthus",NA,"C","N","20070101"
"1E","1st","","pollichia.campestris",NA,"C","N","20070101"
"1E","1st","","polygala..l.",NA,"C","N","20070101"
"1E","1st","","polygala.sphenoptera",NA,"C","N","20070101"
"1E","1st","","portulaca.oleracea",NA,"C","N","20070101"
"1E","1st","","portulaca.quadrifida",NA,"C","N","20070101"
"1E","1st","","pseudognaphalium",NA,"C","N","20070101"
"1E","1st","","psilotrichum.schimperi",NA,"C","N","20070101"
"1E","1st","","rhinacanthus.ndor.",NA,"C","N","20070101"
"1E","1st","","rhynchosia",NA,"C","N","20070101"
"1E","1st","","schkuhria.pinnata",NA,"C","N","20070101"
"1E","1st","","sida",NA,"C","N","20070101"
"1E","1st","","solanum.inc...big.",NA,"C","N","20070101"
"1E","1st","","solanum.ind...small.",NA,"C","N","20070101"
"1E","1st","","v",NA,"C","N","20070101"
"1E","1st","","w",NA,"C","N","20070101"
"1E","1st","","panicum",NA,"C","N","20070101"
"1E","1st","","lippia",NA,"C","N","20070101"
"1G","1st","","bracharia.lacnantha",NA,"C","N","20070101"
"1G","1st","","lintonia.nutans",NA,"C","N","20070101"
"1G","1st","","pennisetum.mez.",NA,"C","N","20070101"
"1G","1st","","pennisetum.stram.",NA,"C","N","20070101"
"1G","1st","","themeda.triandra",NA,"C","N","20070101"
"1G","1st","","bare",NA,"C","N","20070101"
"1G","1st","","x_2",NA,"C","N","20070101"
"1G","1st","","aristida.kenyensis",NA,"C","N","20070101"
"1G","1st","","bothriochloa",NA,"C","N","20070101"
"1G","1st","","bracharia.3",NA,"C","N","20070101"
"1G","1st","","bracharia.eruciformis",NA,"C","N","20070101"
"1G","1st","","cynodon.dactylon",NA,"C","N","20070101"
"1G","1st","","cynodon.plecto.",NA,"C","N","20070101"
"1G","1st","","cyperus..mariscus.",NA,"C","N","20070101"
"1G","1st","","digitaria.2",NA,"C","N","20070101"
"1G","1st","","digitaria.milanjiana",NA,"C","N","20070101"
"1G","1st","","dinebra.retroflexa",NA,"C","N","20070101"
"1G","1st","","eragrostis",2,"C","N","20070101"
"1G","1st","","setaria.acro...small.",NA,"C","N","20070101"
"1G","1st","","setaria.sphaec...big.",NA,"C","N","20070101"
"1G","1st","","microchloa.kunthii",NA,"C","N","20070101"
"1G","1st","","sporobolus",NA,"C","N","20070101"
"1G","1st","","tragus.berteronianus",NA,"C","N","20070101"
"1G","1st","","x_3",NA,"C","N","20070101"
"1G","1st","","acalypha.crenata",NA,"C","N","20070101"
"1G","1st","","aerva.lanata",NA,"C","N","20070101"
"1G","1st","","amaranthus.hibridus",NA,"C","N","20070101"
"1G","1st","","aspilia.pluriseta",NA,"C","N","20070101"
"1G","1st","","caralluma",NA,"C","N","20070101"
"1G","1st","","chenopodium.schrad.",NA,"C","N","20070101"
"1G","1st","","corchorus",NA,"C","N","20070101"
"1G","1st","","commelina",NA,"C","N","20070101"
"1G","1st","","commicarpus.pedunc.",NA,"C","N","20070101"
"1G","1st","","conyza",NA,"C","N","20070101"
"1G","1st","","cyathula",NA,"C","N","20070101"
"1G","1st","","dyscoriste.radicans",NA,"C","N","20070101"
"1G","1st","","euphorbia.inaequ.",NA,"C","N","20070101"
"1G","1st","","evolvulus.alsinoides",NA,"C","N","20070101"
"1G","1st","","gutenbergia",NA,"C","N","20070101"
"1G","1st","","hibiscus.flavifolius",NA,"C","N","20070101"
"1G","1st","","hibiscus.trionum",NA,"C","N","20070101"
"1G","1st","","indigofera.brevicalyx",NA,"C","N","20070101"
"1G","1st","","indigofera.schimperi",NA,"C","N","20070101"
"1G","1st","","ipomea.sinensis",NA,"C","N","20070101"
"1G","1st","","k",NA,"C","N","20070101"
"1G","1st","","kyllinger",NA,"C","N","20070101"
"1G","1st","","leucus",NA,"C","N","20070101"
"1G","1st","","lily",NA,"C","N","20070101"
"1G","1st","","melhania.",NA,"C","N","20070101"
"1G","1st","","misopates.orontium",NA,"C","N","20070101"
"1G","1st","","monechima.debile",NA,"C","N","20070101"
"1G","1st","","monsonia.augustifolia",NA,"C","N","20070101"
"1G","1st","","mullugo.nudicaulis",NA,"C","N","20070101"
"1G","1st","","osteospermum",NA,"C","N","20070101"
"1G","1st","","oxygonum.sinuatum",NA,"C","N","20070101"
"1G","1st","","pavonia.patens",NA,"C","N","20070101"
"1G","1st","","pelargonium",NA,"C","N","20070101"
"1G","1st","","phyllanthus.mader.",NA,"C","N","20070101"
"1G","1st","","plectranthus",NA,"C","N","20070101"
"1G","1st","","pollichia.campestris",NA,"C","N","20070101"
"1G","1st","","polygala..l.",NA,"C","N","20070101"
"1G","1st","","polygala.sphenoptera",NA,"C","N","20070101"
"1G","1st","","portulaca.oleracea",NA,"C","N","20070101"
"1G","1st","","portulaca.quadrifida",NA,"C","N","20070101"
"1G","1st","","pseudognaphalium",2,"C","N","20070101"
"1G","1st","","psilotrichum.schimperi",NA,"C","N","20070101"
"1G","1st","","rhinacanthus.ndor.",NA,"C","N","20070101"
"1G","1st","","rhynchosia",NA,"C","N","20070101"
"1G","1st","","schkuhria.pinnata",NA,"C","N","20070101"
"1G","1st","","sida",NA,"C","N","20070101"
"1G","1st","","solanum.inc...big.",NA,"C","N","20070101"
"1G","1st","","solanum.ind...small.",1,"C","N","20070101"
"1G","1st","","v",NA,"C","N","20070101"
"1G","1st","","w",NA,"C","N","20070101"
"1G","1st","","panicum",NA,"C","N","20070101"
"1G","1st","","lippia",NA,"C","N","20070101"
"1I","1st","","bracharia.lacnantha",NA,"C","N","20070101"
"1I","1st","","lintonia.nutans",NA,"C","N","20070101"
"1I","1st","","pennisetum.mez.",NA,"C","N","20070101"
"1I","1st","","pennisetum.stram.",NA,"C","N","20070101"
"1I","1st","","themeda.triandra",NA,"C","N","20070101"
"1I","1st","","bare",NA,"C","N","20070101"
"1I","1st","","x_2",NA,"C","N","20070101"
"1I","1st","","aristida.kenyensis",NA,"C","N","20070101"
"1I","1st","","bothriochloa",NA,"C","N","20070101"
"1I","1st","","bracharia.3",NA,"C","N","20070101"
"1I","1st","","bracharia.eruciformis",NA,"C","N","20070101"
"1I","1st","","cynodon.dactylon",NA,"C","N","20070101"
"1I","1st","","cynodon.plecto.",NA,"C","N","20070101"
"1I","1st","","cyperus..mariscus.",NA,"C","N","20070101"
"1I","1st","","digitaria.2",NA,"C","N","20070101"
"1I","1st","","digitaria.milanjiana",NA,"C","N","20070101"
"1I","1st","","dinebra.retroflexa",NA,"C","N","20070101"
"1I","1st","","eragrostis",NA,"C","N","20070101"
"1I","1st","","setaria.acro...small.",NA,"C","N","20070101"
"1I","1st","","setaria.sphaec...big.",NA,"C","N","20070101"
"1I","1st","","microchloa.kunthii",NA,"C","N","20070101"
"1I","1st","","sporobolus",NA,"C","N","20070101"
"1I","1st","","tragus.berteronianus",NA,"C","N","20070101"
"1I","1st","","x_3",NA,"C","N","20070101"
"1I","1st","","acalypha.crenata",NA,"C","N","20070101"
"1I","1st","","aerva.lanata",NA,"C","N","20070101"
"1I","1st","","amaranthus.hibridus",NA,"C","N","20070101"
"1I","1st","","aspilia.pluriseta",NA,"C","N","20070101"
"1I","1st","","caralluma",NA,"C","N","20070101"
"1I","1st","","chenopodium.schrad.",NA,"C","N","20070101"
"1I","1st","","corchorus",NA,"C","N","20070101"
"1I","1st","","commelina",NA,"C","N","20070101"
"1I","1st","","commicarpus.pedunc.",NA,"C","N","20070101"
"1I","1st","","conyza",NA,"C","N","20070101"
"1I","1st","","cyathula",NA,"C","N","20070101"
"1I","1st","","dyscoriste.radicans",NA,"C","N","20070101"
"1I","1st","","euphorbia.inaequ.",NA,"C","N","20070101"
"1I","1st","","evolvulus.alsinoides",NA,"C","N","20070101"
"1I","1st","","gutenbergia",NA,"C","N","20070101"
"1I","1st","","hibiscus.flavifolius",NA,"C","N","20070101"
"1I","1st","","hibiscus.trionum",NA,"C","N","20070101"
"1I","1st","","indigofera.brevicalyx",NA,"C","N","20070101"
"1I","1st","","indigofera.schimperi",NA,"C","N","20070101"
"1I","1st","","ipomea.sinensis",NA,"C","N","20070101"
"1I","1st","","k",NA,"C","N","20070101"
"1I","1st","","kyllinger",NA,"C","N","20070101"
"1I","1st","","leucus",NA,"C","N","20070101"
"1I","1st","","lily",NA,"C","N","20070101"
"1I","1st","","melhania.",NA,"C","N","20070101"
"1I","1st","","misopates.orontium",NA,"C","N","20070101"
"1I","1st","","monechima.debile",NA,"C","N","20070101"
"1I","1st","","monsonia.augustifolia",NA,"C","N","20070101"
"1I","1st","","mullugo.nudicaulis",NA,"C","N","20070101"
"1I","1st","","osteospermum",NA,"C","N","20070101"
"1I","1st","","oxygonum.sinuatum",NA,"C","N","20070101"
"1I","1st","","pavonia.patens",NA,"C","N","20070101"
"1I","1st","","pelargonium",NA,"C","N","20070101"
"1I","1st","","phyllanthus.mader.",NA,"C","N","20070101"
"1I","1st","","plectranthus",NA,"C","N","20070101"
"1I","1st","","pollichia.campestris",NA,"C","N","20070101"
"1I","1st","","polygala..l.",NA,"C","N","20070101"
"1I","1st","","polygala.sphenoptera",NA,"C","N","20070101"
"1I","1st","","portulaca.oleracea",NA,"C","N","20070101"
"1I","1st","","portulaca.quadrifida",NA,"C","N","20070101"
"1I","1st","","pseudognaphalium",5,"C","N","20070101"
"1I","1st","","psilotrichum.schimperi",NA,"C","N","20070101"
"1I","1st","","rhinacanthus.ndor.",NA,"C","N","20070101"
"1I","1st","","rhynchosia",NA,"C","N","20070101"
"1I","1st","","schkuhria.pinnata",NA,"C","N","20070101"
"1I","1st","","sida",NA,"C","N","20070101"
"1I","1st","","solanum.inc...big.",NA,"C","N","20070101"
"1I","1st","","solanum.ind...small.",NA,"C","N","20070101"
"1I","1st","","v",NA,"C","N","20070101"
"1I","1st","","w",NA,"C","N","20070101"
"1I","1st","","panicum",NA,"C","N","20070101"
"1I","1st","","lippia",NA,"C","N","20070101"
"2J","1st","","bracharia.lacnantha",NA,"C","N","20070101"
"2J","1st","","lintonia.nutans",3,"C","N","20070101"
"2J","1st","","pennisetum.mez.",NA,"C","N","20070101"
"2J","1st","","pennisetum.stram.",NA,"C","N","20070101"
"2J","1st","","themeda.triandra",8,"C","N","20070101"
"2J","1st","","bare",NA,"C","N","20070101"
"2J","1st","","x_2",NA,"C","N","20070101"
"2J","1st","","aristida.kenyensis",NA,"C","N","20070101"
"2J","1st","","bothriochloa",NA,"C","N","20070101"
"2J","1st","","bracharia.3",NA,"C","N","20070101"
"2J","1st","","bracharia.eruciformis",NA,"C","N","20070101"
"2J","1st","","cynodon.dactylon",NA,"C","N","20070101"
"2J","1st","","cynodon.plecto.",NA,"C","N","20070101"
"2J","1st","","cyperus..mariscus.",NA,"C","N","20070101"
"2J","1st","","digitaria.2",2,"C","N","20070101"
"2J","1st","","digitaria.milanjiana",NA,"C","N","20070101"
"2J","1st","","dinebra.retroflexa",NA,"C","N","20070101"
"2J","1st","","eragrostis",NA,"C","N","20070101"
"2J","1st","","setaria.acro...small.",NA,"C","N","20070101"
"2J","1st","","setaria.sphaec...big.",NA,"C","N","20070101"
"2J","1st","","microchloa.kunthii",NA,"C","N","20070101"
"2J","1st","","sporobolus",NA,"C","N","20070101"
"2J","1st","","tragus.berteronianus",NA,"C","N","20070101"
"2J","1st","","x_3",NA,"C","N","20070101"
"2J","1st","","acalypha.crenata",NA,"C","N","20070101"
"2J","1st","","aerva.lanata",NA,"C","N","20070101"
"2J","1st","","amaranthus.hibridus",NA,"C","N","20070101"
"2J","1st","","aspilia.pluriseta",1,"C","N","20070101"
"2J","1st","","caralluma",NA,"C","N","20070101"
"2J","1st","","chenopodium.schrad.",NA,"C","N","20070101"
"2J","1st","","corchorus",NA,"C","N","20070101"
"2J","1st","","commelina",NA,"C","N","20070101"
"2J","1st","","commicarpus.pedunc.",NA,"C","N","20070101"
"2J","1st","","conyza",NA,"C","N","20070101"
"2J","1st","","cyathula",NA,"C","N","20070101"
"2J","1st","","dyscoriste.radicans",NA,"C","N","20070101"
"2J","1st","","euphorbia.inaequ.",NA,"C","N","20070101"
"2J","1st","","evolvulus.alsinoides",NA,"C","N","20070101"
"2J","1st","","gutenbergia",NA,"C","N","20070101"
"2J","1st","","hibiscus.flavifolius",NA,"C","N","20070101"
"2J","1st","","hibiscus.trionum",NA,"C","N","20070101"
"2J","1st","","indigofera.brevicalyx",NA,"C","N","20070101"
"2J","1st","","indigofera.schimperi",2,"C","N","20070101"
"2J","1st","","ipomea.sinensis",NA,"C","N","20070101"
"2J","1st","","k",NA,"C","N","20070101"
"2J","1st","","kyllinger",NA,"C","N","20070101"
"2J","1st","","leucus",NA,"C","N","20070101"
"2J","1st","","lily",NA,"C","N","20070101"
"2J","1st","","melhania.",NA,"C","N","20070101"
"2J","1st","","misopates.orontium",NA,"C","N","20070101"
"2J","1st","","monechima.debile",NA,"C","N","20070101"
"2J","1st","","monsonia.augustifolia",NA,"C","N","20070101"
"2J","1st","","mullugo.nudicaulis",NA,"C","N","20070101"
"2J","1st","","osteospermum",NA,"C","N","20070101"
"2J","1st","","oxygonum.sinuatum",NA,"C","N","20070101"
"2J","1st","","pavonia.patens",NA,"C","N","20070101"
"2J","1st","","pelargonium",NA,"C","N","20070101"
"2J","1st","","phyllanthus.mader.",NA,"C","N","20070101"
"2J","1st","","plectranthus",NA,"C","N","20070101"
"2J","1st","","pollichia.campestris",NA,"C","N","20070101"
"2J","1st","","polygala..l.",NA,"C","N","20070101"
"2J","1st","","polygala.sphenoptera",NA,"C","N","20070101"
"2J","1st","","portulaca.oleracea",NA,"C","N","20070101"
"2J","1st","","portulaca.quadrifida",NA,"C","N","20070101"
"2J","1st","","pseudognaphalium",NA,"C","N","20070101"
"2J","1st","","psilotrichum.schimperi",NA,"C","N","20070101"
"2J","1st","","rhinacanthus.ndor.",NA,"C","N","20070101"
"2J","1st","","rhynchosia",NA,"C","N","20070101"
"2J","1st","","schkuhria.pinnata",NA,"C","N","20070101"
"2J","1st","","sida",NA,"C","N","20070101"
"2J","1st","","solanum.inc...big.",1,"C","N","20070101"
"2J","1st","","solanum.ind...small.",NA,"C","N","20070101"
"2J","1st","","v",NA,"C","N","20070101"
"2J","1st","","w",NA,"C","N","20070101"
"2J","1st","","panicum",NA,"C","N","20070101"
"2J","1st","","lippia",NA,"C","N","20070101"
"2J","All","Lvs","bracharia.lacnantha",NA,"C","N","20070101"
"2J","All","Lvs","lintonia.nutans",3,"C","N","20070101"
"2J","All","Lvs","pennisetum.mez.",NA,"C","N","20070101"
"2J","All","Lvs","pennisetum.stram.",NA,"C","N","20070101"
"2J","All","Lvs","themeda.triandra",18,"C","N","20070101"
"2J","All","Lvs","bare",NA,"C","N","20070101"
"2J","All","Lvs","x_2",NA,"C","N","20070101"
"2J","All","Lvs","aristida.kenyensis",NA,"C","N","20070101"
"2J","All","Lvs","bothriochloa",NA,"C","N","20070101"
"2J","All","Lvs","bracharia.3",NA,"C","N","20070101"
"2J","All","Lvs","bracharia.eruciformis",NA,"C","N","20070101"
"2J","All","Lvs","cynodon.dactylon",NA,"C","N","20070101"
"2J","All","Lvs","cynodon.plecto.",NA,"C","N","20070101"
"2J","All","Lvs","cyperus..mariscus.",NA,"C","N","20070101"
"2J","All","Lvs","digitaria.2",6,"C","N","20070101"
"2J","All","Lvs","digitaria.milanjiana",NA,"C","N","20070101"
